Shakespeare dataset already prepared.
Starting training...
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 384
Overriding: block_size = 256
Overriding: batch_size = 64
Overriding: dropout = 0.2
Overriding: learning_rate = 0.001
Overriding: max_iters = 5000
Overriding: out_dir = out-shakespeare-char
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 3880: loss 0.8844, time 6.85ms, mfu 52.88%
iter 3890: loss 0.8915, time 6.86ms, mfu 53.02%
iter 3900: loss 0.8918, time 6.86ms, mfu 53.15%
iter 3910: loss 0.8828, time 6.84ms, mfu 53.28%
iter 3920: loss 0.8718, time 6.85ms, mfu 53.40%
iter 3930: loss 0.8954, time 6.87ms, mfu 53.49%
iter 3940: loss 0.8715, time 6.85ms, mfu 53.58%
iter 3950: loss 0.8852, time 6.83ms, mfu 53.67%
iter 3960: loss 0.9140, time 6.89ms, mfu 53.72%
iter 3970: loss 0.8913, time 6.86ms, mfu 53.78%
iter 3980: loss 0.8882, time 6.89ms, mfu 53.81%
iter 3990: loss 0.8758, time 7.26ms, mfu 53.56%
step 4000: train loss 0.7082, val loss 1.6217
iter 4000: loss 0.8579, time 1830.66ms, mfu 48.22%
iter 4010: loss 0.8776, time 6.87ms, mfu 48.82%
iter 4020: loss 0.8856, time 6.86ms, mfu 49.37%
iter 4030: loss 0.8782, time 6.81ms, mfu 49.91%
iter 4040: loss 0.8742, time 6.84ms, mfu 50.37%
iter 4050: loss 0.8664, time 6.87ms, mfu 50.75%
iter 4060: loss 0.8598, time 6.84ms, mfu 51.13%
iter 4070: loss 0.8612, time 6.88ms, mfu 51.43%
iter 4080: loss 0.8866, time 6.88ms, mfu 51.70%
iter 4090: loss 0.8519, time 6.81ms, mfu 52.00%
iter 4100: loss 0.8927, time 6.78ms, mfu 52.30%
iter 4110: loss 0.8788, time 6.83ms, mfu 52.52%
iter 4120: loss 0.8806, time 6.81ms, mfu 52.74%
iter 4130: loss 0.8564, time 6.83ms, mfu 52.92%
iter 4140: loss 0.8835, time 6.85ms, mfu 53.07%
iter 4150: loss 0.8729, time 6.87ms, mfu 53.19%
iter 4160: loss 0.8424, time 6.87ms, mfu 53.30%
iter 4170: loss 0.8737, time 6.88ms, mfu 53.38%
iter 4180: loss 0.8671, time 7.44ms, mfu 53.06%
iter 4190: loss 0.8639, time 6.85ms, mfu 53.19%
iter 4200: loss 0.8474, time 6.86ms, mfu 53.31%
iter 4210: loss 0.8734, time 6.93ms, mfu 53.35%
iter 4220: loss 0.8595, time 6.88ms, mfu 53.43%
iter 4230: loss 0.8804, time 6.82ms, mfu 53.55%
iter 4240: loss 0.8669, time 6.82ms, mfu 53.66%
step 4250: train loss 0.6771, val loss 1.6474
iter 4250: loss 0.8745, time 1720.49ms, mfu 48.32%
iter 4260: loss 0.8667, time 6.88ms, mfu 48.90%
iter 4270: loss 0.8574, time 6.85ms, mfu 49.45%
iter 4280: loss 0.8548, time 6.86ms, mfu 49.93%
iter 4290: loss 0.8360, time 6.88ms, mfu 50.36%
iter 4300: loss 0.8279, time 6.86ms, mfu 50.76%
iter 4310: loss 0.8521, time 6.85ms, mfu 51.12%
iter 4320: loss 0.8332, time 6.90ms, mfu 51.41%
iter 4330: loss 0.8627, time 6.84ms, mfu 51.72%
iter 4340: loss 0.8311, time 6.82ms, mfu 52.00%
iter 4350: loss 0.8370, time 6.83ms, mfu 52.26%
iter 4360: loss 0.8570, time 6.91ms, mfu 52.42%
iter 4370: loss 0.8528, time 6.87ms, mfu 52.61%
iter 4380: loss 0.8339, time 6.82ms, mfu 52.81%
iter 4390: loss 0.8582, time 6.84ms, mfu 52.98%
iter 4400: loss 0.8496, time 6.78ms, mfu 53.18%
iter 4410: loss 0.8546, time 6.93ms, mfu 53.24%
iter 4420: loss 0.8542, time 6.89ms, mfu 53.33%
iter 4430: loss 0.8449, time 6.83ms, mfu 53.45%
iter 4440: loss 0.8374, time 6.87ms, mfu 53.53%
iter 4450: loss 0.8465, time 6.87ms, mfu 53.60%
iter 4460: loss 0.8304, time 6.90ms, mfu 53.64%
iter 4470: loss 0.8492, time 6.86ms, mfu 53.70%
iter 4480: loss 0.8232, time 6.93ms, mfu 53.71%
iter 4490: loss 0.8434, time 6.83ms, mfu 53.79%
step 4500: train loss 0.6516, val loss 1.6709
iter 4500: loss 0.8596, time 1717.29ms, mfu 48.43%
iter 4510: loss 0.8523, time 6.85ms, mfu 49.03%
iter 4520: loss 0.8451, time 6.93ms, mfu 49.51%
iter 4530: loss 0.8464, time 6.87ms, mfu 49.98%
iter 4540: loss 0.8485, time 6.86ms, mfu 50.42%
iter 4550: loss 0.8763, time 6.84ms, mfu 50.83%
iter 4560: loss 0.8362, time 6.86ms, mfu 51.18%
iter 4570: loss 0.8419, time 6.85ms, mfu 51.50%
iter 4580: loss 0.8474, time 6.86ms, mfu 51.78%
iter 4590: loss 0.8486, time 6.89ms, mfu 52.01%
iter 4600: loss 0.8299, time 6.84ms, mfu 52.26%
iter 4610: loss 0.8737, time 6.91ms, mfu 52.42%
iter 4620: loss 0.8357, time 6.86ms, mfu 52.61%
iter 4630: loss 0.8193, time 6.89ms, mfu 52.76%
iter 4640: loss 0.8458, time 6.92ms, mfu 52.87%
iter 4650: loss 0.8579, time 6.91ms, mfu 52.98%
iter 4660: loss 0.8369, time 6.86ms, mfu 53.11%
iter 4670: loss 0.8409, time 6.82ms, mfu 53.26%
iter 4680: loss 0.8528, time 6.83ms, mfu 53.40%
iter 4690: loss 0.8485, time 6.89ms, mfu 53.47%
iter 4700: loss 0.8265, time 6.81ms, mfu 53.59%
iter 4710: loss 0.7952, time 6.83ms, mfu 53.68%
iter 4720: loss 0.8280, time 6.87ms, mfu 53.74%
iter 4730: loss 0.8199, time 6.81ms, mfu 53.83%
iter 4740: loss 0.8330, time 6.89ms, mfu 53.85%
step 4750: train loss 0.6339, val loss 1.6931
iter 4750: loss 0.8055, time 1715.40ms, mfu 48.49%
iter 4760: loss 0.8236, time 6.83ms, mfu 49.09%
iter 4770: loss 0.8023, time 6.87ms, mfu 49.61%
iter 4780: loss 0.8194, time 6.86ms, mfu 50.08%
iter 4790: loss 0.8285, time 6.89ms, mfu 50.48%
iter 4800: loss 0.8221, time 6.86ms, mfu 50.87%
iter 4810: loss 0.8410, time 6.79ms, mfu 51.26%
iter 4820: loss 0.8232, time 6.88ms, mfu 51.55%
iter 4830: loss 0.8264, time 6.96ms, mfu 51.75%
iter 4840: loss 0.8199, time 6.82ms, mfu 52.04%
iter 4850: loss 0.8138, time 6.90ms, mfu 52.23%
iter 4860: loss 0.8243, time 6.88ms, mfu 52.43%
iter 4870: loss 0.8041, time 6.91ms, mfu 52.58%
iter 4880: loss 0.8264, time 6.89ms, mfu 52.73%
iter 4890: loss 0.8007, time 6.93ms, mfu 52.83%
iter 4900: loss 0.8069, time 6.88ms, mfu 52.96%
iter 4910: loss 0.8286, time 6.84ms, mfu 53.11%
iter 4920: loss 0.8213, time 6.91ms, mfu 53.19%
iter 4930: loss 0.8175, time 6.89ms, mfu 53.28%
iter 4940: loss 0.7975, time 6.90ms, mfu 53.36%
iter 4950: loss 0.8221, time 6.85ms, mfu 53.46%
iter 4960: loss 0.8313, time 6.87ms, mfu 53.54%
iter 4970: loss 0.7846, time 6.90ms, mfu 53.58%
iter 4980: loss 0.7861, time 6.85ms, mfu 53.67%
iter 4990: loss 0.8246, time 6.93ms, mfu 53.68%
step 5000: train loss 0.6200, val loss 1.7064
iter 5000: loss 0.8177, time 1723.93ms, mfu 48.33%
